,Pclass,Age,Sex,Fare
0,3,22.0,1,7.25
1,1,38.0,0,71.2833
2,3,26.0,0,7.925
3,1,35.0,0,53.1
4,3,35.0,1,8.05
5,1,54.0,1,51.8625
6,3,2.0,1,21.075
7,3,27.0,0,11.1333
8,2,14.0,0,30.0708
9,3,4.0,0,16.7
10,1,58.0,0,26.55
11,3,20.0,1,8.05
12,3,39.0,1,31.275
13,3,14.0,0,7.8542
14,2,55.0,0,16.0
15,3,2.0,1,29.125
16,3,31.0,0,18.0
17,2,35.0,1,26.0
18,2,34.0,1,13.0
19,3,15.0,0,8.0292
20,1,28.0,1,35.5
21,3,8.0,0,21.075
22,3,38.0,0,31.3875
23,1,19.0,1,263.0
24,1,40.0,1,27.7208
25,2,66.0,1,10.5
26,1,28.0,1,82.1708
27,1,42.0,1,52.0
28,3,21.0,1,8.05
29,3,18.0,0,18.0
30,3,14.0,0,11.2417
31,3,40.0,0,9.475
32,2,27.0,0,21.0
33,2,3.0,0,41.5792
34,3,19.0,0,7.8792
35,3,18.0,0,17.8
36,3,7.0,1,39.6875
37,3,21.0,1,7.8
38,1,49.0,0,76.7292
39,2,29.0,0,26.0
40,1,65.0,1,61.9792
41,2,21.0,0,10.5
42,3,28.5,1,7.2292
43,2,5.0,0,27.75
44,3,11.0,1,46.9
45,3,22.0,1,7.2292
46,1,38.0,0,80.0
47,1,45.0,1,83.475
48,3,4.0,1,27.9
49,2,29.0,0,10.5
50,3,19.0,1,8.1583
51,3,17.0,0,7.925
52,3,26.0,1,8.6625
53,2,32.0,1,10.5
54,3,16.0,0,46.9
55,2,21.0,1,73.5
56,3,26.0,1,14.4542
57,3,32.0,1,56.4958
58,3,25.0,1,7.65
59,2,0.83,1,29.0
60,3,30.0,0,12.475
61,3,22.0,1,9.0
62,3,29.0,1,9.5
63,1,28.0,1,47.1
64,2,17.0,0,10.5
65,3,33.0,0,15.85
66,3,16.0,1,34.375
67,1,23.0,0,263.0
68,3,24.0,1,8.05
69,3,29.0,1,8.05
70,3,20.0,1,7.8542
71,1,46.0,1,61.175
72,3,26.0,1,20.575
73,3,59.0,1,7.25
74,1,71.0,1,34.6542
75,1,23.0,1,63.3583
76,2,34.0,0,23.0
77,2,34.0,1,26.0
78,3,28.0,0,7.8958
79,1,21.0,1,77.2875
80,3,33.0,1,8.6542
81,3,37.0,1,7.925
82,3,28.0,1,7.8958
83,3,21.0,0,7.65
84,3,38.0,1,7.8958
85,1,47.0,1,52.0
86,3,14.5,0,14.4542
87,3,22.0,1,8.05
88,3,20.0,0,9.825
89,3,17.0,0,14.4583
90,3,21.0,1,7.925
91,3,70.5,1,7.75
92,2,29.0,1,21.0
93,1,24.0,1,247.5208
94,3,2.0,0,31.275
95,2,21.0,1,73.5
96,2,32.5,1,30.0708
97,2,32.5,0,13.0
98,1,54.0,1,77.2875
99,3,12.0,1,11.2417
100,3,24.0,1,7.1417
101,3,45.0,1,6.975
102,3,33.0,1,7.8958
103,3,20.0,1,7.05
104,3,47.0,0,14.5
105,2,29.0,0,26.0
106,2,25.0,1,13.0
107,2,23.0,1,15.0458
108,1,19.0,0,26.2833
109,1,37.0,1,53.1
110,3,16.0,1,9.2167
111,1,24.0,1,79.2
112,3,22.0,0,7.75
113,3,24.0,0,15.85
114,3,19.0,1,6.75
115,2,18.0,1,11.5
116,2,19.0,1,36.75
117,3,27.0,1,7.7958
118,3,9.0,0,34.375
119,2,36.5,1,26.0
120,2,42.0,1,13.0
121,2,51.0,1,12.525
122,1,22.0,0,66.6
123,3,55.5,1,8.05
124,3,40.5,1,14.5
125,1,51.0,1,61.3792
126,3,16.0,0,7.7333
127,3,30.0,1,8.05
128,3,44.0,1,16.1
129,2,40.0,0,15.75
130,3,26.0,1,7.775
131,3,17.0,1,8.6625
132,3,1.0,1,39.6875
133,3,9.0,1,20.525
134,3,45.0,0,27.9
135,3,28.0,1,56.4958
136,1,61.0,1,33.5
137,3,4.0,1,29.125
138,3,1.0,0,11.1333
139,3,21.0,1,7.925
140,1,56.0,1,30.6958
141,3,18.0,1,7.8542
142,1,50.0,0,28.7125
143,2,30.0,1,13.0
144,3,36.0,1,0.0
145,3,9.0,1,31.3875
146,2,1.0,1,39.0
147,3,4.0,0,22.025
148,1,45.0,1,26.55
149,3,40.0,1,15.5
150,3,36.0,1,7.8958
151,2,32.0,0,13.0
152,2,19.0,1,13.0
153,3,19.0,0,7.8542
154,2,3.0,1,26.0
155,1,44.0,0,27.7208
156,1,58.0,0,146.5208
157,3,42.0,1,8.4042
158,2,24.0,0,13.0
159,3,28.0,1,9.5
160,3,34.0,1,6.4958
161,3,45.5,1,7.225
162,3,18.0,1,8.05
163,3,2.0,0,10.4625
164,3,32.0,1,15.85
165,3,26.0,1,18.7875
166,3,16.0,0,7.75
167,1,40.0,1,31.0
168,3,24.0,1,7.05
169,2,35.0,0,21.0
170,3,22.0,1,7.25
171,2,30.0,1,13.0
172,1,31.0,0,113.275
173,3,27.0,0,7.925
174,2,42.0,1,27.0
175,1,32.0,0,76.2917
176,2,30.0,1,10.5
177,3,16.0,1,8.05
178,2,27.0,1,13.0
179,3,51.0,1,8.05
180,1,38.0,1,90.0
